candidate,party,constituency,votes,result,sex,province,district
Karna Bahadur Chanda,CPN (Unified),Kanchanpur-3,86,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Kusheshvara Chaudhari,Nepali Janata Dal,Udayapur-1,85,Declared,♂ Male,Koshi Province,Udayapur
Bam Bahadur Magar,आम जनता पार्टी(एकल चुनाव चिन्ह),Udayapur-2,85,Declared,♂ Male,Koshi Province,Udayapur
Deva Narayana Shah,CPN (Maoist),Dhanusha-4,85,Declared,♂ Male,Madhesh Province,Dhanusha
Ravindra Sah,Rastriya Prajatantra Party,Rautahat-2,85,Declared,♂ Male,Madhesh Province,Rautahat
Ranjana Paudel,Independent,Chitwan-3,85,Declared,♀ Female,Bagmati Province,Chitwan
Surendra Sherchan,Ujyalo Nepal Party,Mustang-1,85,Declared,♂ Male,Gandaki Province,Mustang
Durga Prasad Sawa Limbu,Independent,Jhapa-1,84,Declared,♂ Male,Koshi Province,Jhapa
Chandana Kumara Jha,Nepali Party for Nepal,Dhanusha-3,84,Declared,♂ Male,Madhesh Province,Dhanusha
Yuvaraja Pakhrin,Independent,Sarlahi-3,84,Declared,♂ Male,Madhesh Province,Sarlahi
Kushal Khatri,Independent,Kathmandu-1,84,Declared,♂ Male,Bagmati Province,Kathmandu
Shekha Sajid,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),Rautahat-3,84,Declared,♂ Male,Madhesh Province,Rautahat
Krishna Bahadur Raut,Independent,Kaski-1,84,Declared,♂ Male,Gandaki Province,Kaski
Dipak Gurung,Janata Samajwadi Party Nepal,Rupandehi-2,84,Declared,♂ Male,Lumbini Province,Rupandehi
Rajendra Kumar Bishwakarma,Janata Samajwadi Party Nepal,Banke-1,84,Declared,♂ Male,Lumbini Province,Banke
Narendra Ke.si,Ujyalo Nepal Party,Rukum West-1,84,Declared,♂ Male,Karnali Province,Rukum West
Raj Kumar Limbu,Federal Democratic National Forum,Sunsari-1,83,Declared,♂ Male,Koshi Province,Sunsari
Raj Kumar Rai,Nepali Jana Shramdaan Culture Party,Sunsari-1,83,Declared,♂ Male,Koshi Province,Sunsari
Devraj Roka,Independent,Udayapur-1,83,Declared,♂ Male,Koshi Province,Udayapur
Binaya Kumar Mishra,Nepal Janata Party,Mahottari-3,83,Declared,♂ Male,Madhesh Province,Mahottari
Archan Shumsher Rana,Independent,Kathmandu-4,83,Declared,♂ Male,Bagmati Province,Kathmandu
Sanoj Mahat,पिपुल फर्ष्ट पार्टी,Lalitpur-1,83,Declared,♂ Male,Bagmati Province,Lalitpur
Pundeshowr Prasad Yadav,Shram Sanskriti Party,Parsa-2,83,Declared,♂ Male,Madhesh Province,Parsa
Shobha Bhandari,Independent,Jhapa-5,82,Declared,♀ Female,Koshi Province,Jhapa
Sagar Rai,Mongol National Organisation,Dhankuta-1,82,Declared,♂ Male,Koshi Province,Dhankuta
Meghendra Kumar Rokka,CPN (Maoist),Morang-2,82,Declared,♂ Male,Koshi Province,Morang
Rajendra Prasad Mandal Kewat,Progressive Democratic Party,Morang-5,82,Declared,♂ Male,Koshi Province,Morang
Rabi Mohan Dhakal,Rastriya Janamorcha,Kaski-1,82,Declared,♂ Male,Gandaki Province,Kaski
Shesh Narayan Shukla,Nepal Janata Party,Kapilvastu-2,82,Declared,♂ Male,Lumbini Province,Kapilvastu
Roshana Shah,Rastriya Prajatantra Party,Rukum East-1,82,Declared,♂ Male,Lumbini Province,Rukum East
Visan Singh Bohara,आम जनता पार्टी(एकल चुनाव चिन्ह),Baitadi-1,82,Declared,♂ Male,Sudurpashchim Province,Baitadi
Sharad Singh Yadav,Jana Adhikar Party,Saptari-2,81,Declared,♂ Male,Madhesh Province,Saptari
Ramendra Kumara Karn,CPN (Maoist),Dhanusha-3,81,Declared,♂ Male,Madhesh Province,Dhanusha
Kumar Pariyar,CPN (Maoist),Kaski-1,81,Declared,♂ Male,Gandaki Province,Kaski
Harka Bahadur Pun,Mongol National Organisation,Pyuthan-1,81,Declared,♂ Male,Lumbini Province,Pyuthan
Bhartalal Chaudhary,Janata Samajwadi Party Nepal,Dang-1,81,Declared,♂ Male,Lumbini Province,Dang
Mubarak Ali Darji,Rastriya Janmat Party,Banke-3,81,Declared,♂ Male,Lumbini Province,Banke
Birendra Rana,Independent,Kanchanpur-2,81,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Madhav Prasad Rajbanshi,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Morang-2,80,Declared,♂ Male,Koshi Province,Morang
Parashurama Sah,Independent,Dhanusha-1,80,Declared,♂ Male,Madhesh Province,Dhanusha
Chuda Prasad Dhakal,Independent,Gorkha-2,80,Declared,♂ Male,Gandaki Province,Gorkha
Teka Vahadura Ke.si.,CPN (Maoist),Baglung-1,80,Declared,♂ Male,Gandaki Province,Baglung
Uttam Dahal,Independent,Morang-6,79,Declared,♂ Male,Koshi Province,Morang
Nirajana Kumar,Independent,Bara-4,79,Declared,♂ Male,Madhesh Province,Bara
Harka Bahadur Thapa,आम जनता पार्टी(एकल चुनाव चिन्ह),Kaski-1,79,Declared,♂ Male,Gandaki Province,Kaski
Lokendra Ghimire,CPN (Maoist),Baglung-2,79,Declared,♂ Male,Gandaki Province,Baglung
Kamal Raya,CPN (Maoist),Siraha-3,78,Declared,♂ Male,Madhesh Province,Siraha
Dipak Manandhar,CPN (Maoist),Kathmandu-7,78,Declared,♂ Male,Bagmati Province,Kathmandu
Karna Bahadur Gurung,Progressive Democratic Party,Kaski-1,78,Declared,♂ Male,Gandaki Province,Kaski
Mohan Thapa,National Republic Nepal,Rupandehi-3,78,Declared,♂ Male,Lumbini Province,Rupandehi
Jamvanti Bhuj,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kapilvastu-2,78,Declared,♀ Female,Lumbini Province,Kapilvastu
Bimal Prasad Pokharel,Nepali Janata Dal,Pyuthan-1,78,Declared,♂ Male,Lumbini Province,Pyuthan
Gajendra Raj Pandey,Shram Sanskriti Party,Baitadi-1,78,Declared,♂ Male,Sudurpashchim Province,Baitadi
Dharma Dangol,Independent,Kathmandu-5,77,Declared,♂ Male,Bagmati Province,Kathmandu
Santosh Katuwal,CPN (Maoist),Jhapa-3,76,Declared,♂ Male,Koshi Province,Jhapa
Sanjay Rai,CPN (Maoist),Jhapa-5,76,Declared,♂ Male,Koshi Province,Jhapa
Rama Bahadura Lama,Mongol National Organisation,Dhanusha-1,76,Declared,♂ Male,Madhesh Province,Dhanusha
Neka Mahammad,Rastriya Janamorcha,Rautahat-2,76,Declared,♂ Male,Madhesh Province,Rautahat
Manoj Pandit Kumhal,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Parsa-3,76,Declared,♂ Male,Madhesh Province,Parsa
Bikash Kami,Progressive Democratic Party,Chitwan-1,76,Declared,♂ Male,Bagmati Province,Chitwan
Jeevan Bahadur Gurung,Mongol National Organisation,Kaski-3,76,Declared,♂ Male,Gandaki Province,Kaski
Yam Bahadur Ale,Nepal Janmukti Party,Tanahun-1,76,Declared,♂ Male,Gandaki Province,Tanahun
Jyoti Thapa,आम जनता पार्टी(एकल चुनाव चिन्ह),Rupandehi-4,76,Declared,♀ Female,Lumbini Province,Rupandehi
Tek Prasad Kami,Nepal Humanist Party,Baglung-2,76,Declared,♂ Male,Gandaki Province,Baglung
Dal Bahadur Bucha Magar,National Republic Nepal,Kailali-2,76,Declared,♂ Male,Sudurpashchim Province,Kailali
Anil Rana,Independent,Kanchanpur-1,76,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Homa Bahadura Sunar,Independent,Parasi-1,76,Declared,♂ Male,Lumbini Province,Parasi
Tulasa Limbu,Federal Democratic National Forum,Sunsari-2,75,Declared,♀ Female,Koshi Province,Sunsari
Tikalaxmi Narayan Chaudhary,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Saptari-1,75,Declared,♀ Female,Madhesh Province,Saptari
Yam Bahadur Moktan,National Republic Nepal,Ramechhap-1,75,Declared,♂ Male,Bagmati Province,Ramechhap
Rajesh Prashad Shah,Independent,Mahottari-2,75,Declared,♂ Male,Madhesh Province,Mahottari
Dhirendra Kumar Sharma,CPN (Unified),Mahottari-3,75,Declared,♂ Male,Madhesh Province,Mahottari
Amin Ratna Tamrakar,Progressive Democratic Party,Kathmandu-7,75,Declared,♂ Male,Bagmati Province,Kathmandu
Keshavraj Aryal,Progressive Democratic Party,Kathmandu-10,75,Declared,♂ Male,Bagmati Province,Kathmandu
Surya Lal Yadav,Janata Samajwadi Party Nepal,Banke-3,75,Declared,♂ Male,Lumbini Province,Banke
Lokendra Bahadur Shahi,CPN (Maoist),Achham-1,75,Declared,♂ Male,Sudurpashchim Province,Achham
Manprakash Sangroula,Independent,Jhapa-3,74,Declared,♂ Male,Koshi Province,Jhapa
Tek Bahadur Adhikari,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),Jhapa-4,74,Declared,♂ Male,Koshi Province,Jhapa
Manoj Kumar Rajbanshi,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",Morang-2,74,Declared,♂ Male,Koshi Province,Morang
Deuman Limbu,Independent,Sunsari-1,74,Declared,♂ Male,Koshi Province,Sunsari
Mankumar Rai,Mongol National Organisation,Sunsari-4,74,Declared,♂ Male,Koshi Province,Sunsari
Raju Gaudel,CPN (Unified),Rupandehi-3,74,Declared,♂ Male,Lumbini Province,Rupandehi
Pratik Adhikari,Progressive Democratic Party,Dang-2,74,Declared,♂ Male,Lumbini Province,Dang
Ram Kumar Sah,Nepali Party for Nepal,Siraha-1,73,Declared,♂ Male,Madhesh Province,Siraha
Krishna Maharjan,Progressive Democratic Party,Lalitpur-2,73,Declared,♂ Male,Bagmati Province,Lalitpur
Prabha Kumari Sinh,राष्ट्र निर्माण दल नेपाल,Rautahat-1,73,Declared,♀ Female,Madhesh Province,Rautahat
Satya Narayana Bhagata Bin,Progressive Democratic Party,Rautahat-4,73,Declared,♂ Male,Madhesh Province,Rautahat
Suresha Prasad,Nepal Loktantrik Party,Bara-4,73,Declared,♂ Male,Madhesh Province,Bara
Sandesh Ranabhat Laudari,Independent,Tanahun-1,73,Declared,♂ Male,Gandaki Province,Tanahun
Padam Bahadur Javegu,Nepal Janmukti Party,Jhapa-5,72,Declared,♂ Male,Koshi Province,Jhapa
Sushant Sampang Rai,Federal Democratic National Forum,Jhapa-5,72,Declared,♂ Male,Koshi Province,Jhapa
Ashok Sharma,आम जनता पार्टी(एकल चुनाव चिन्ह),Morang-4,72,Declared,♂ Male,Koshi Province,Morang
Rinki Kumari Sah,आम जनता पार्टी(एकल चुनाव चिन्ह),Sarlahi-4,72,Declared,♀ Female,Madhesh Province,Sarlahi
Santosh Bista,Progressive Democratic Party,Makwanpur-2,72,Declared,♂ Male,Bagmati Province,Makwanpur
Lok Bahadur Thapa,National Republic Nepal,Gulmi-1,72,Declared,♂ Male,Lumbini Province,Gulmi
Upendra Shahi,Independent,Bajura-1,72,Declared,♂ Male,Sudurpashchim Province,Bajura
Sitaram Rana,Nepal Workers and Peasants Party,Kanchanpur-2,72,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Vinoda Regmi,Progressive Democratic Party,Parasi-1,72,Declared,♂ Male,Lumbini Province,Parasi
Mana Kumara Limvu,CPN (Maoist),Tehrathum-1,71,Declared,♂ Male,Koshi Province,Tehrathum
Gajendra Kumar Mandal,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Saptari-3,71,Declared,♂ Male,Madhesh Province,Saptari
Gyanendra Prajapati,CPN (Maoist),Kathmandu-5,71,Declared,♂ Male,Bagmati Province,Kathmandu
Dinesh Shahi,Nepal Janata Sanrakshan Party,Kathmandu-8,71,Declared,♂ Male,Bagmati Province,Kathmandu
Mana Bahadura Tamad,Janata Samajwadi Party Nepal,Kavrepalanchok-1,71,Declared,♂ Male,Bagmati Province,Kavrepalanchok
Rajendra Prasad Gaire,Rastriya Janamorcha,Syangja-2,71,Declared,♂ Male,Gandaki Province,Syangja
Shiva Prithi Damai,United Citizens Party,Rupandehi-2,71,Declared,♂ Male,Lumbini Province,Rupandehi
Hari Om Tulsiyan,Independent,Kapilvastu-3,71,Declared,♂ Male,Lumbini Province,Kapilvastu
Birkha Bahadur Shahi,CPN (Maoist),Jumla-1,71,Declared,♂ Male,Karnali Province,Jumla
Lok Raj Bhatta,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Kanchanpur-3,71,Declared,♂ Male,Sudurpashchim Province,Kanchanpur
Pradip Kumar Jha,Rastriya Prajatantra Party,Sarlahi-4,70,Declared,♂ Male,Madhesh Province,Sarlahi
Nil Govinda Maharjan,Rastriya Janamorcha,Lalitpur-3,70,Declared,♂ Male,Bagmati Province,Lalitpur
Upendra Mukhiya Vin,Progressive Democratic Party,Rautahat-3,70,Declared,♂ Male,Madhesh Province,Rautahat
Jamasheda Ansari,Shram Sanskriti Party,Rautahat-3,70,Declared,♂ Male,Madhesh Province,Rautahat
Chanda Thapa,Rastriya Janamukti Party,Rupandehi-5,70,Declared,♀ Female,Lumbini Province,Rupandehi
Asmin Kumar Bista,Independent,Kalikot-1,70,Declared,♂ Male,Karnali Province,Kalikot
Surendra Raj Bhatta,Nepal Workers and Peasants Party,Dadeldhura-1,70,Declared,♂ Male,Sudurpashchim Province,Dadeldhura
Sumit Rai,Independent,Sunsari-1,69,Declared,♂ Male,Koshi Province,Sunsari
Pancha Kumari Manandhar,Independent,Kathmandu-9,69,Declared,♀ Female,Bagmati Province,Kathmandu
Abdullah Musalman,Rastriya Janmat Party,Kapilvastu-1,69,Declared,♂ Male,Lumbini Province,Kapilvastu
Sharmila Mali,Nepal Workers and Peasants Party,Kathmandu-2,68,Declared,♀ Female,Bagmati Province,Kathmandu
Chandra Man Koju,CPN (Maoist),Bhaktapur-1,68,Declared,♂ Male,Bagmati Province,Bhaktapur
Baiju Prasada Patel,Independent,Rautahat-4,68,Declared,♂ Male,Madhesh Province,Rautahat
Radheshyam Teli Gupta,आम जनता पार्टी(एकल चुनाव चिन्ह),Rupandehi-3,68,Declared,♂ Male,Lumbini Province,Rupandehi
Prabhu Prasad Sah,Nepal Workers and Peasants Party,Saptari-3,67,Declared,♂ Male,Madhesh Province,Saptari
Khim Bahadur Chhetri,Independent,Syangja-2,67,Declared,♂ Male,Gandaki Province,Syangja
Karna Bahadur Nepali,Ujyalo Nepal Party,Jajarkot-1,67,Declared,♂ Male,Karnali Province,Jajarkot
Raja Ram Bashi,Nepal Workers and Peasants Party,Bhojpur-1,66,Declared,♂ Male,Koshi Province,Bhojpur
Santosh Kumar Rajak,Independent,Saptari-2,66,Declared,♂ Male,Madhesh Province,Saptari
Bishnu Thadrai (Sharki),CPN (Maoist),Palpa-2,66,Declared,♂ Male,Lumbini Province,Palpa
Lal Bahadur Thapa Chhetri,Nepal Workers and Peasants Party,Salyan-1,66,Declared,♂ Male,Karnali Province,Salyan
Abdul Umar Sai,आम जनता पार्टी(एकल चुनाव चिन्ह),Banke-2,66,Declared,♂ Male,Lumbini Province,Banke
Bal Kumar Tamli,Federal Democratic National Forum,Dhankuta-1,65,Declared,♂ Male,Koshi Province,Dhankuta
Ram Kumar Bhomjan,CPN (Maoist),Kathmandu-10,65,Declared,♂ Male,Bagmati Province,Kathmandu
Uttara Bahadura Rana Magar,Mongol National Organisation,Rautahat-3,65,Declared,♂ Male,Madhesh Province,Rautahat
Haridev Thapa,Rastriya Janamukti Party,Syangja-2,65,Declared,♂ Male,Gandaki Province,Syangja
Shree Prasad Sitaula,CPN (Unified),Jhapa-2,64,Declared,♂ Male,Koshi Province,Jhapa
Kaushal Kumar Singh,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Siraha-2,64,Declared,♂ Male,Madhesh Province,Siraha
Pujan Kumar Singh,Progressive Democratic Party,Siraha-3,64,Declared,♂ Male,Madhesh Province,Siraha
Gopala Nepali,Janata Samajwadi Party Nepal,Dolakha-1,64,Declared,♂ Male,Bagmati Province,Dolakha
Rajnish Raj Pandey,Nepali Party for Nepal,Mahottari-3,64,Declared,♂ Male,Madhesh Province,Mahottari
Raju Rokka,Progressive Democratic Party,Kathmandu-9,64,Declared,♂ Male,Bagmati Province,Kathmandu
Ramakanta Prasada Patel,Ujyalo Nepal Party,Rautahat-2,64,Declared,♂ Male,Madhesh Province,Rautahat
Khil Bahadur Gaha,National Republic Nepal,Rupandehi-1,64,Declared,♂ Male,Lumbini Province,Rupandehi
Ramesh Lodh,Janamat Party,Rupandehi-2,64,Declared,♂ Male,Lumbini Province,Rupandehi
Devendra Kuar (Rilli) Ghale,Mongol National Organisation,Sankhuwasabha-1,63,Declared,♂ Male,Koshi Province,Sankhuwasabha
Mahesh Shrestha,Nepal Workers and Peasants Party,Sunsari-1,63,Declared,♂ Male,Koshi Province,Sunsari
Ramesh Kumar Sah,Nepal Janata Party,Sunsari-4,63,Declared,♂ Male,Koshi Province,Sunsari
Indrasagar Gupta,Nepali Party for Nepal,Saptari-2,63,Declared,♂ Male,Madhesh Province,Saptari
Sanjiv Gurung,Independent,Nuwakot-1,63,Declared,♂ Male,Bagmati Province,Nuwakot
Shiva Bachan Thakur Lohar,Independent,Parsa-2,63,Declared,♂ Male,Madhesh Province,Parsa
Tek Bahadur Sarki,United Citizens Party,Kaski-3,63,Declared,♂ Male,Gandaki Province,Kaski
Prem Bahadur Tarami,CPN (Unified),Surkhet-2,63,Declared,♂ Male,Karnali Province,Surkhet
Anu Magar,Mongol National Organisation,Morang-6,62,Declared,♀ Female,Koshi Province,Morang
Sher Bahadur Khatri,Rastriya Janamorcha,Okhaldhunga-1,62,Declared,♂ Male,Koshi Province,Okhaldhunga
Roshan Dani,Rastriya Janamorcha,Kathmandu-9,62,Declared,♂ Male,Bagmati Province,Kathmandu
Anup Muni Bajrachrya,Jai Matribhumi Party,Kathmandu-9,62,Declared,♂ Male,Bagmati Province,Kathmandu
Jajula Devan,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),Rautahat-1,62,Declared,♂ Male,Madhesh Province,Rautahat
Shyama Vavu Prasad,Independent,Rautahat-1,62,Declared,♂ Male,Madhesh Province,Rautahat
Dhiraja Chaudhari,Independent,Rautahat-3,62,Declared,♂ Male,Madhesh Province,Rautahat
Krishna Bahadur K.C.,Rastriya Janamorcha,Chitwan-3,62,Declared,♂ Male,Bagmati Province,Chitwan
Dil Bahadur Kami,आम जनता पार्टी(एकल चुनाव चिन्ह),Rolpa-1,62,Declared,♂ Male,Lumbini Province,Rolpa
Narendra Prasada Kurum‍vang,Nepal Janmukti Party,Panchthar-1,61,Declared,♂ Male,Koshi Province,Panchthar
Man Bahadur Pulami Magar,Nepal Janmukti Party,Jhapa-2,61,Declared,♂ Male,Koshi Province,Jhapa
Hari Bahadur Basnet,CPN (Maoist),Morang-4,61,Declared,♂ Male,Koshi Province,Morang
Santosh Ghimire,Independent,Ramechhap-1,61,Declared,♂ Male,Bagmati Province,Ramechhap
Roshana Kumara Sah,Independent,Dhanusha-1,61,Declared,♂ Male,Madhesh Province,Dhanusha
Avadhakishora Prasada Kushavaha,Progressive Democratic Party,Bara-4,61,Declared,♂ Male,Madhesh Province,Bara
Arjun Kumar Gurung,National Republic Nepal,Syangja-1,61,Declared,♂ Male,Gandaki Province,Syangja
Birendra Kumar Dhobi,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Rupandehi-5,61,Declared,♂ Male,Lumbini Province,Rupandehi
Pabitra Shahi,Nepal Workers and Peasants Party,Bardiya-1,61,Declared,♀ Female,Lumbini Province,Bardiya
Yama Vahadura Limbu,Nepal Janmukti Party,Ilam-2,60,Declared,♂ Male,Koshi Province,Ilam
Amrita Lawati,Federal Democratic National Forum,Jhapa-2,60,Declared,♀ Female,Koshi Province,Jhapa
Tavareja Akhatara Aalama,Janata Samajwadi Party Nepal,Morang-4,60,Declared,♂ Male,Koshi Province,Morang
Kamala Khatri,Progressive Democratic Party,Dolakha-1,60,Declared,♂ Male,Bagmati Province,Dolakha
Dambar Bahadur Limbu,United Citizens Party,Dhading-1,60,Declared,♂ Male,Bagmati Province,Dhading
Sagar Joshi,Independent,Kathmandu-1,60,Declared,♂ Male,Bagmati Province,Kathmandu
Mo Tanavira Akhatara Mikarani,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),Rautahat-1,60,Declared,♂ Male,Madhesh Province,Rautahat
Satyanarayana Mahara,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),Rautahat-4,60,Declared,♂ Male,Madhesh Province,Rautahat
Arjun Praja,Nepal Workers and Peasants Party,Chitwan-1,60,Declared,♂ Male,Bagmati Province,Chitwan
Chitra Prasad Sapkota,Progressive Democratic Party,Baglung-1,60,Declared,♂ Male,Gandaki Province,Baglung
Jhankar Bahadur Shahi,Nepal Workers and Peasants Party,Achham-2,60,Declared,♂ Male,Sudurpashchim Province,Achham
Rupa Kumari Chaudhary,आम जनता पार्टी(एकल चुनाव चिन्ह),Kailali-1,60,Declared,♀ Female,Sudurpashchim Province,Kailali
Dilli Ram Nepali,CPN (Maoist),Morang-1,59,Declared,♂ Male,Koshi Province,Morang
Suresh Marpa,Mongol National Organisation,Lalitpur-1,59,Declared,♂ Male,Bagmati Province,Lalitpur
Aasa Tamang,Independent,Kavrepalanchok-2,59,Declared,♀ Female,Bagmati Province,Kavrepalanchok
Prabhu Raya Yadav,Independent,Rautahat-3,59,Declared,♂ Male,Madhesh Province,Rautahat
Gopal Bhandari,Independent,Rupandehi-3,59,Declared,♂ Male,Lumbini Province,Rupandehi
Deepak Kumar Mandal,Sarbabhauma Nagarik Party,Saptari-2,58,Declared,♂ Male,Madhesh Province,Saptari
Baijnath Kami,Independent,Siraha-3,58,Declared,♂ Male,Madhesh Province,Siraha
Jalpa Devi Regmi,आम जनता पार्टी(एकल चुनाव चिन्ह),Dhading-1,58,Declared,♀ Female,Bagmati Province,Dhading
